7601	7
7601	8
7601	9
7601	10
7601	11
7601	12
7601	13
7604	33
7604	34
7604	35
7604	36
7604	37
7604	38
7604	39
7604	40
7604	41
7605	42
7605	43
7605	44
7605	45
7605	46
7605	47
7605	48
7605	49
7610	14
7610	15
7610	16
7610	17
7610	18
7612	4
7612	19
7612	20
7612	21
7612	22
7613	26
7613	27
7613	28
7613	29
7613	30
7613	31
7613	32
7613	33
7613	34
7613	36
7621	5
7621	38
7621	41
7621	42
7621	43
7621	48
7630	4
7630	13
7630	14
7630	16
7630	21
7630	22
7631	35
7631	43
7631	44
7632	3
7632	13
7632	15
7633	5
7633	14
7633	19
7633	21
7633	22
7633	23
7633	34
7637	38
7637	39
7637	40
7637	41
7637	42
7637	43
7637	44
7637	48
7637	50
7638	12
7638	13
7638	18
7638	19
7638	20
7638	26
7638	27
7638	37
7652	2
7652	9
7652	10
7652	11
7652	12
7652	19
7653	13
7653	14
7653	16
7653	17
7653	40
7653	41
7655	1
7655	3
7655	21
7655	23
7655	24
7655	42
7658	16
7658	43
7658	44
7658	45
7658	46
7658	47
7658	48
7658	49
7658	50
7660	1
7660	6
7660	23
7660	25
7660	31
7660	32
7663	14
7663	22
7663	23
7664	2
7664	4
7664	5
7664	11
7664	22
7664	24
7664	25
